Movie, Genre, Actor,Actor2,Actor3
Jurassic Park III,Action,Michael Jeter,Craig T. Nelson,Lou Romano
Rise of the Planet of the Apes,Action,James Franco,Frank Langella,Matthew Modine
The Spiderwick Chronicles,Adventure,Martin Short,Rosario Dawson,Steve Coogan
A Good Day to Die Hard,Action,Bruce Willis,Rip Torn,Linda Fiorentino
The Alamo,Drama,Dennis Quaid,John Ratzenberger,Wayne Knight
The Incredibles,Action,Holly Hunter,Rosario Dawson,Ethan Suplee
Cutthroat Island,Action,Christopher Masterson,John Lone,Harris Yulin
Percy Jackson & the Olympians: The Lightning Thief,Adventure,Logan Lerman,Amber Valletta,Miranda Otto
Men in Black,Adventure,Will Smith,Bobb'e J. Thompson,Al Roker
Toy Story 2,Adventure,Tom Hanks,Maile Flanagan,Kelly Keaton
Unstoppable,Action,Denzel Washington,Adrian Martinez,Joey Slotnick
Rush Hour 2,Action,Mei MelanÃ§on,LL Cool J,Kelly Lynch
What Lies Beneath,Drama,Harrison Ford,Matt Damon,Ray Winstone
Cloudy with a Chance of Meatballs,Animation,Will Forte,Harvey Fierstein,June Foray
Ice Age: Dawn of the Dinosaurs,Action,Denis Leary,Steve Coogan,Brandon T. Jackson
The Secret Life of Walter Mitty,Adventure,Adam Scott,Goran Visnjic,Joely Richardson
Charlie's Angels,Action,Bill Murray,Aldis Hodge,Kevin Chamberlin
The Departed,Crime,Leonardo DiCaprio,Eddie Marsan,Robert Maillet
Mulan,Adventure,Ming-Na Wen,Ayelet Zurer,Moises Arias
Tropic Thunder,Action,Robert Downey Jr.,Jim Varney,Cree Summer
The Girl with the Dragon Tattoo,Crime,Robin Wright,Joshua Mikel,Jesse McCartney
Die Hard with a Vengeance,Action,Bruce Willis,Tom Wilkinson,Thomas Kretschmann
Sherlock Holmes,Action,Robert Downey Jr.,Sayed Badreya,Kevin Nealon
Ben-Hur,Adventure,Morgan Freeman,Adam Sandler,Josh Gad
Atlantis: The Lost Empire,Action,Leonard Nimoy,William Hurt,Kevin Sussman
Alvin and the Chipmunks: The Road Chip,Adventure,Bella Thorne,Rachael Harris,Marc John Jefferies
Valkyrie,Drama,Tom Cruise,Tom Skerritt,Larry King
You Don't Mess with the Zohan,Action,Adam Sandler,Kim Dickens,Joey Slotnick
Pixels,Action,Peter Dinklage,George Harris,Michael Wright
A.I. Artificial Intelligence,Adventure,Haley Joel Osment,Leven Rambin,Brandon T. Jackson
The Haunted Mansion,Comedy,Marsha Thomason,Angelina Jolie Pitt,Djimon Hounsou
Contact,Drama,Matthew McConaughey,Morgan Freeman,Sanaa Lathan
Hollow Man,Action,Greg Grunberg,Michael Byrne,Velibor Topic
The Interpreter,Crime,Curtiss Cook,Stephen Dillane,Catherine McCormack
Percy Jackson: Sea of Monsters,Adventure,Logan Lerman,Connie Nielsen,Kim Delaney
Lara Croft Tomb Raider: The Cradle of Life,Action,Gerard Butler,Wanda Sykes,Will.i.am
Now You See Me 2,Action,Daniel Radcliffe,Oliver Platt,John Michael Higgins
The Saint,Action,Alun Armstrong,Anne Heche,Gaby Hoffmann
Spy Game,Action,Brad Pitt,Brad Pitt,Natascha McElhone
Mission to Mars,Adventure,Don Cheadle,Christian Camargo,Lex Shrapnel
Rio,Adventure,Anne Hathaway,Reg E. Cathey,Tim Heidecker
Bicentennial Man,Comedy,Robin Williams,Mako,Sandahl Bergman
Volcano,Action,Don Cheadle,Bruce McGill,Rosemarie DeWitt
The Devil's Own,Action,Harrison Ford,Nathan Lane,Richard E. Grant
K-19: The Widowmaker,Drama,Liam Neeson,Michael Angarano,Michael O'Neill
Fantastic Four,Action,Tim Blake Nelson,Alan Ruck,Jami Gertz
Conan the Barbarian,Adventure,William Smith,Vin Diesel,Jordana Brewster
Cinderella Man,Biography,Paddy Considine,Paul Sanchez,Nick Searcy
The Nutcracker in 3D,Action,Shirley Henderson,Hugh Jackman,Elizabeth Daily
Seabiscuit,Drama,Jeff Bridges,Joan Allen,Oksana Akinshina
Twister,Action,Philip Seymour Hoffman,Gary Oldman,Dean Stockwell
The Fast and the Furious,Action,Paul Walker,Bernie Mac,Elliott Gould
Cast Away,Adventure,Tom Hanks,Logan Lerman,Orlando Bloom
Happy Feet,Animation,Robin Williams,Adam Sandler,Jon Lovitz
The Bourne Supremacy,Action,Matt Damon,Teala Dunn,Fred Tatasciore
Air Force One,Action,Harrison Ford,Scott Thompson,Hettienne Park
Ocean's Eleven,Crime,Brad Pitt,Ryan Reynolds,Sam Shepard
The Three Musketeers,Action,Milla Jovovich,Eric Idle,Jim Carter
Hotel Transylvania,Animation,Steve Buscemi,Gabourey Sidibe,Judd Hirsch
Enchanted,Animation,Jeff Bennett,Rufus Sewell,Sarah Parish
HannibalÂ             ,Crime,Caroline Dhavernas,Jake Busey,Lisa Bonet
Safe House,Action,Denzel Washington,Hunter Parrish,Zoe Kazan
102 Dalmatians,Adventure,Ioan Gruffudd,Matt Damon,Brad Pitt
Tower Heist,Action,Matthew Broderick,Debra Messing,Jane Krakowski
The Holiday,Comedy,Kate Winslet,Theo James,Mekhi Phifer
Enemy of the State,Action,Will Smith,Gabriel Thomson,Clemens Schick
It's Complicated,Comedy,Meryl Streep,Rosario Dawson,Ewen Bremner
Ocean's Thirteen,Crime,Al Pacino,Tom Noonan,Joan Plowright
Open Season,Adventure,Jon Favreau,Mako,Karl Yune
Divergent,Adventure,Kate Winslet,Zachery Ty Bryan,Nikki Griffin
Enemy at the Gates,Drama,Bob Hoskins,Imelda Staunton,Michael Palin
The Rundown,Action,Dwayne Johnson,Brad Pitt,Jake Weber
Last Action Hero,Action,F. Murray Abraham,Rick Worthy,Jsu Garcia
Memoirs of a Geisha,Drama,Li Gong,Ben Vereen,Max Wright
The Fast and the Furious: Tokyo Drift,Action,Amber Stevens West,Nathan Lane,Danny Woodburn
Arthur Christmas,Adventure,Jim Broadbent,Kieran Culkin,Ellen Wong
Meet Joe Black,Drama,Anthony Hopkins,TchÃ©ky Karyo,Rekha Sharma
Collateral Damage,Action,Raymond Cruz,Janet Jackson,Chris Elliott
All That Jazz,Comedy,Roy Scheider,Linda Cardellini,Miguel A. NÃºÃ±ez Jr.
Mirror Mirror,Adventure,Julia Roberts,Jason Cope,Rakie Ayola
Scott Pilgrim vs. the World,Action,Anna Kendrick,Cameron Monaghan,Julie Kavner
The Core,Action,Glenn Morshower,Hal Holbrook,Adrienne Barbeau
Nutty Professor II: The Klumps,Comedy,Larry Miller,Sean Hayes,Katt Williams
Scooby-Doo,Adventure,Sarah Michelle Gellar,Hayden Christensen,Tom Hulce
Dredd,Action,Wood Harris,IvÃ¡n KamarÃ¡s,Brian Steele
Click,Comedy,Adam Sandler,Jake Gyllenhaal,Anthony Edwards
Creepshow,Comedy,Ted Danson,Michael Rapaport,Tony Goldwyn
Cats & Dogs: The Revenge of Kitty Galore,Action,Jack McBrayer,Steve Carell,Lisa Ann Walter
Jumper,Action,Kristen Stewart,Sylvester Stallone,Jet Li
Hellboy II: The Golden Army,Action,Seth MacFarlane,Kristin Scott Thomas,Vanessa Redgrave
Zodiac,Crime,Robert Downey Jr.,Josh Hutcherson,Anthony Reynolds
The 6th Day,Action,Robert Duvall,Mason Lee,Mike Tyson
Bruce Almighty,Comedy,Morgan Freeman,Vincent Schiavelli,Andrew Bryniarski
The Expendables,Action,Jason Statham,Steve Carell,Catherine O'Hara
Mission: Impossible,Action,Tom Cruise,Jason Scott Lee,David Ogden Stiers
The Hunger Games,Adventure,Jennifer Lawrence,Julia Roberts,Oprah Winfrey
The Hangover Part II,Comedy,Bradley Cooper,Jon Favreau,Robert Duvall
Batman Returns,Action,Michael Gough,Anthony Hopkins,Garrick Hagon
Over the Hedge,Adventure,Bruce Willis,Steve Reevis,Dalip Singh
Lilo & Stitch,Adventure,Tia Carrere,Jesse McCartney,Lauren Gottlieb
Charlotte's Web,Comedy,Steve Buscemi,Adam Sandler,Jon Lovitz
Deep Impact,Action,Morgan Freeman,Dwayne Johnson,Anne Hathaway
RED 2,Action,Bruce Willis,Jon Favreau,Paul Michael Glaser
The Longest Yard,Comedy,Adam Sandler,Joseph Sikora,Nellie Sciutto
Alvin and the Chipmunks: Chipwrecked,Adventure,Amy Poehler,Robert Duvall,Katy Mixon
Grown Ups 2,Comedy,Steve Buscemi,Drew Carey,Paula Abdul
Get Smart,Action,Bill Murray,CCH Pounder,Joan Allen
Something's Gotta Give,Comedy,Keanu Reeves,Carmen Electra,Kathryn Joosten
Shutter Island,Mystery,Leonardo DiCaprio,Jennifer Jason Leigh,Liam Aiken
Four Christmases,Comedy,Jon Favreau,Bailee Madison,Kevin Nealon
Robots,Adventure,Jim Broadbent,Royce Johnson,Charlie Cox
Face/Off,Action,Nicolas Cage,Monica Potter,Dave Chappelle
Bedtime Stories,Comedy,Adam Sandler,Ethan Embry,Cameron Boyce
Road to Perdition,Crime,Tom Hanks,Natalie Portman,Charlie Hunnam
Just Go with It,Comedy,Adam Sandler,Mila Kunis,Gary Oldman
DaredevilÂ             ,Action,Elden Henson,Jodi Benson,Sam Lloyd
Con Air,Action,Steve Buscemi,Lili Taylor,Virginia Madsen
Eagle Eye,Action,Rosario Dawson,Wayne Knight,Michael Jordan
Cold Mountain,Adventure,Philip Seymour Hoffman,Henry Czerny,William Abadie
The Book of Eli,Action,Denzel Washington,Jon Hamm,Juan Riedinger
Flubber,Comedy,Robin Williams,Alex McArthur,Michael Potts
The Haunting,Fantasy,Liam Neeson,Logan Lerman,Jim Parrack
Space Jam,Adventure,Bill Murray,Anne Heche,Amy Sedaris
The Pink Panther,Adventure,Roger Rees,Tom Cavanagh,Josh Robert Thompson
The Day the Earth Stood Still,Drama,Keanu Reeves,Charles Napier,Zahn McClarnon
Conspiracy Theory,Action,Julia Roberts,Leslie Bibb,Nicholas Turturro
Fury,Action,Brad Pitt,William Hurt,June Lockhart
Six Days Seven Nights,Action,Harrison Ford,Dorian Missick,Jose Pablo Cantillo
Yogi Bear,Adventure,Justin Timberlake,Stephen Dillane,Michael Brandon
Spirit: Stallion of the Cimarron,Adventure,Matt Damon,Adam Sandler,Fran Drescher
Zookeeper,Comedy,Rosario Dawson,Agnes Moorehead,Dick York
Lost in Space,Action,Gary Oldman,Penn Jillette,Russi Taylor
The Manchurian Candidate,Drama,Denzel Washington,Alan Young,Josh Stamberg
DÃ©jÃ  Vu,Drama,Vanessa Redgrave,Mika Boorem,David Paymer
Hotel Transylvania 2,Animation,Steve Buscemi,Don Cheadle,Sam Shepard
BewitchedÂ             ,Comedy,Elizabeth Montgomery,Nick Chinlund,Adrian Alonso
Fantasia 2000,Animation,Quincy Jones,Annabella Sciorra,Rosalind Chao
The Time Machine,Action,Mark Addy,Jon Lovitz,Michael McKean
Mighty Joe Young,Action,Charlize Theron,Heath Ledger,Mackenzie Crook
Swordfish,Action,Hugh Jackman,Martin Short,Lukas Haas
The Legend of Zorro,Action,Michael Emerson,Roxane Duran,Julie-Marie Parmentier
What Dreams May Come,Drama,Robin Williams,Harold Perrineau,Bart the Bear
Little Nicky,Comedy,Adam Sandler,Devin Ratray,Boris Kodjoe
The Brothers Grimm,Action,Matt Damon,Jon Foster,Bruce Thomas
Mars Attacks!,Action,Natalie Portman,Viggo Mortensen,Amy Brenneman
Evolution,Drama,Nissim Renard,Tiya Sircar,Madison Rothschild
The Edge,Action,Anthony Hopkins,Michael Byrne,John Topor
Surrogates,Action,Bruce Willis,Jenna Elfman,Heather Locklear
Thirteen Days,Drama,Bruce Greenwood,Elio Germano,Andrea Di Stefano
Daylight,Action,Sylvester Stallone,Gerard Butler,Ethan Embry
Walking with Dinosaurs 3D,Adventure,Charlie Rowe,Brian Anthony Wilson,Larenz Tate
Battlefield Earth,Action,Richard Tyson,Elizabeth Daily,Glenne Headly
Looney Tunes: Back in Action,Adventure,Brendan Fraser,Joseph Gilgun,Lotte Verbeek
Nine,Drama,Fergie,Val Kilmer,Tom Sizemore
Timeline,Action,Paul Walker,Adam LeFevre,Penny Balfour
The Postman,Action,Olivia Williams,Jacques Perrin,Rie Miyazawa
Babe: Pig in the City,Adventure,Adam Goldberg,Catherine McCormack,Jemima Rooper
The Last Witch Hunter,Action,Vin Diesel,Currie Graham,Dylan Schombing
Red Planet,Action,Bob Neill,David Hoffman,Ben Diskin
Arthur and the Invisibles,Adventure,Mia Farrow,Austin Pendleton,Judd Hirsch
Oceans,Documentary,Pedro ArmendÃ¡riz Jr.,Nathan Lane,Niketa Calame
A Sound of Thunder,Action,David Oyelowo,Dwayne Johnson,Kristin Davis
Pompeii,Action,Sasha Roiz,Khamani Griffin,Melissa Sturm
Top Cat Begins,Animation,Sariann Monaco,Anthony Hopkins,Emily Watson
A Beautiful Mind,Biography,Adam Goldberg,Viggo Mortensen,Peter Mensah
The Lion King,Adventure,Matthew Broderick,Adam Sandler,Tim Meadows
Journey 2: The Mysterious Island,Action,Josh Hutcherson,Cole Hauser,Mo Gallini
Cloudy with a Chance of Meatballs 2,Animation,Will Forte,James Franco,Mackenzie Foy
Red Dragon,Crime,Philip Seymour Hoffman,Veronica Cartwright,Jeremy Northam
Hidalgo,Action,J.K. Simmons,Janeane Garofalo,Jonathan Winters
Jack and Jill,Comedy,Al Pacino,Eric Stonestreet,Albert Brooks
2 Fast 2 Furious,Action,Paul Walker,Max Ryan,Tony Curran
The Little Prince,Adventure,Jeff Bridges,Miranda Cosgrove,Steve Coogan
The Invasion,Sci-Fi,Roger Rees,Adam Baldwin,Mary McDonnell
The Adventures of Rocky & Bullwinkle,Adventure,Robert De Niro,Richard Schiff,Vanessa Lee Chester
The Secret Life of Pets,Animation,Steve Coogan,Cedric the Entertainer,Andy Richter
The League of Extraordinary Gentlemen,Action,Jason Flemyng,Danny Huston,Rita Davies
Despicable Me 2,Animation,Steve Carell,Tyler Mane,Bruce Davison
Independence Day,Action,Will Smith,Morgan Freeman,Common
The Lost World: Jurassic Park,Action,Ariana Richards,Michael Biehn,Bokeem Woodbine
Madagascar,Adventure,Jada Pinkett Smith,Ray Romano,Jay Leno
Children of Men,Drama,Charlie Hunnam,Peter Dante,Allen Covert
X-Men,Action,Hugh Jackman,Elijah Kelley,Paul Dooley
Wanted,Action,Angelina Jolie Pitt,Alan Ford,Izabella Scorupco
The Rock,Action,Nicolas Cage,Rene Auberjonois,Rupert Everett
Ice Age: The Meltdown,Action,Denis Leary,Common,Michael Kelly
50 First Dates,Comedy,Adam Sandler,Adam Sandler,Salma Hayek
Hairspray,Comedy,Jerry Stiller,Chi McBride,Barry Shabaka Henley
Exorcist: The Beginning,Horror,James D'Arcy,Matt Ryan,Charles Halford
Inspector Gadget,Action,Matthew Broderick,Kevin Dillon,Yvette Nicole Brown
Now You See Me,Crime,Morgan Freeman,Scott Glenn,Ben Mendelsohn
Grown Ups,Comedy,Steve Buscemi,Tom Hanks,Jud Tylor
The Terminal,Comedy,Tom Hanks,Martin Scorsese,Angelina Jolie Pitt
ConstantineÂ             ,Drama,Harold Perrineau,Jennifer Hudson,Anika Noni Rose
Hotel for Dogs,Comedy,Don Cheadle,Brent Sexton,Damian Lewis
Vertical Limit,Action,Nicholas Lea,Christina Milian,Debi Mazar
Charlie Wilson's War,Biography,Philip Seymour Hoffman,Moritz Bleibtreu,Mathieu Amalric
Shark Tale,Adventure,Robert De Niro,Tom Skerritt,Cole Hauser
Dreamgirls,Drama,Loretta Devine,Lisa Ann Walter,Catherine O'Hara
LifeÂ             ,Crime,Adam Arkin,Elizabeth Debicki,Christian Berkel
Be Cool,Comedy,Dwayne Johnson,Paz Vega,Sarah Steele
Munich,Drama,Ayelet Zurer,Jon Heder,Catherine O'Hara
Tears of the Sun,Action,Bruce Willis,BrÃ_an F. O'Byrne,Azura Skye
Killers,Action,Tom Selleck,Ben Cross,John Gielgud
The Man from U.N.C.L.E.,Action,Henry Cavill,Geoffrey Palmer,Randall Duk Kim
Spanglish,Comedy,Adam Sandler,Daniel Sharman,Steve Byers
Monster House,Animation,Steve Buscemi,Bruce Willis,Ransford Doherty
Bandits,Comedy,Bruce Willis,Janeane Garofalo,Nathan Lane
First Knight,Action,Julia Ormond,Bruce Greenwood,Lena Olin
Anna and the King,Drama,Bai Ling,Sean Pertwee,Jason Scott Lee
Immortals,Action,Henry Cavill,Kiernan Shipka,Lou Taylor Pucci
Hostage,Action,Jimmy Bennett,Bridget Fonda,Megan Mullally
Titan A.E.,Action,Matt Damon,Tony Curran,Miranda Otto
Hollywood Homicide,Action,Harrison Ford,Bruce Willis,Michael Kelly
Soldier,Action,Connie Nielsen,Jon Hamm,Steve Coogan
Carriers,Drama,Christopher Meloni,Abbie Cornish,Scott Glenn
Monkeybone,Animation,Brendan Fraser,Mike Starr,John Heard
Flight of the Phoenix,Action,Dennis Quaid,James Pickens Jr.,Huey Lewis
Unbreakable,Drama,Robin Wright,Josh Gad,Keegan-Michael Key
Minions,Action,Steve Carell,Ray Winstone,Alexis Dziena
Sucker Punch,Action,Jon Hamm,RZA,Maude Apatow
Snake Eyes,Crime,Nicolas Cage,Frances Fisher,Tim McGraw
Sphere,Drama,Peter Coyote,Leslie Bibb,Gary Cole
The Angry Birds Movie,Action,Peter Dinklage,Jeffrey Jones,Kevin Pollak
Fool's Gold,Action,Matthew McConaughey,Patrick McGoohan,James Robinson
Funny People,Comedy,Adam Sandler,Brian Geraghty,James Morrison
The Kingdom,Action,Jennifer Garner,Yeardley Smith,Marcia Wallace
Talladega Nights: The Ballad of Ricky Bobby,Action,Will Ferrell,Hal Holbrook,Jeffrey DeMunn
Dr. Dolittle 2,Comedy,Raven-SymonÃ©,Estella Warren,CristiÃ¡n de la Fuente
Braveheart,Biography,Mhairi Calvey,Jean-Claude Dreyfus,Oanh Nguyen
Jarhead,Action,Jake Gyllenhaal,Judy Greer,William Hurt
The Simpsons Movie,Adventure,Albert Brooks,Raven-SymonÃ©,Peter Boyle
The Majestic,Drama,Martin Landau,Merritt Wever,Cherry Jones
Driven,Action,Sylvester Stallone,Jennifer Saunders,Conrad Vernon
Two Brothers,Adventure,David Gant,Cheech Marin,George Carlin
The Village,Drama,Bryce Dallas Howard,Christopher Meloni,Hector Elizondo
Doctor Dolittle,Comedy,Oliver Platt,Eve,Leila Arcieri
Signs,Drama,Rory Culkin,Billy West,Eddie Deezen
Shrek 2,Adventure,Rupert Everett,Delroy Lindo,Rene Russo
Cars,Adventure,John Ratzenberger,Brad Pitt,Christoph Waltz
Runaway Bride,Comedy,Julia Roberts,Julia Roberts,Bob Hoskins
xXx,Action,Vin Diesel,Rufus Sewell,Ingrid BolsÃ¸ Berdal
The SpongeBob Movie: Sponge Out of Water,Adventure,Tim Conway,John Amos,Franco Nero
Ransom,Crime,Lili Taylor,Josh Charles,LL Cool J
Inglourious Basterds,Adventure,Michael Fassbender,Katia Winter,Lyndie Greenwood
Hook,Adventure,Robin Williams,Ivana Milicevic,Noah Taylor
Hercules,Action,Dwayne Johnson,Freddy RodrÃ_guez,Bob Balaban
Die Hard 2,Action,Bruce Willis,Colin Salmon,Raoul Bova
S.W.A.T.,Action,Jeremy Renner,Bridgit Mendler,Jesse McCartney
Sleepy HollowÂ             ,Adventure,Nicole Beharie,Marc Blucas,Chris Klein
Vanilla Sky,Fantasy,Tom Cruise,Morgan Freeman,Radha Mitchell
Lady in the Water,Drama,Bryce Dallas Howard,Jonathan Frakes,Michael Dorn
AVP: Alien vs. Predator,Action,Sanaa Lathan,Jim Parrack,Ramon Rodriguez
Alvin and the Chipmunks: The Squeakquel,Animation,Amy Poehler,Alison Lohman,Albert Finney
We Were Soldiers,Action,Jon Hamm,Peter Gerety,Ron Rifkin
Olympus Has Fallen,Action,Gerard Butler,Benedict Cumberbatch,Eddie Marsan
Star Trek: Insurrection,Action,LeVar Burton,Matt Damon,Bob Balaban
Battle Los Angeles,Action,Noel Fisher,Todd Graff,Mary Elizabeth Mastrantonio
Big Fish,Adventure,Steve Buscemi,Austin Pendleton,John Buffalo Mailer
Wolf,Drama,David Hyde Pierce,Sarah Gadon,Zach McGowan
War Horse,Drama,Jeremy Irvine,Bruce Willis,Mark Valley
The Monuments Men,Drama,Bill Murray,David Kelly,Nathaniel Parker
The Abyss,Adventure,Michael Biehn,Mako,Victor Wong
Wall Street: Money Never Sleeps,Drama,Frank Langella,Clint Howard,Chelcie Ross
Dracula Untold,Action,Dominic Cooper,Brooke Smith,Garcelle Beauvais
The Siege,Action,Denzel Washington,Ben Daniels,Dexter Fletcher
Stardust,Adventure,Henry Cavill,Phill Lewis,Tate Taylor
Seven Years in Tibet,Adventure,Brad Pitt,Stephen Rea,Sandrine Holt
The Dilemma,Comedy,Channing Tatum,Shane Hartline,Celina Beach
Bad Company,Action,Anthony Hopkins,Cole Hauser,Rory Cochrane
Doom,Action,Dwayne Johnson,Robert De Niro,Ben Mendelsohn
I Spy,Action,Gary Cole,Chris Klein,Andrew Bryniarski
Underworld: Awakening,Action,Theo James,Sandrine Holt,Gregg Henry
Rock of Ages,Comedy,James Martin Kelly,Minnie Driver,Randy Quaid
Hart's War,Drama,Bruce Willis,Brandy Norwood,David Hyde Pierce
Killer Elite,Action,Jason Statham,Oliver Platt,Jim Belushi
Rollerball,Action,LL Cool J,Archie Kao,Brandon Molale
Ballistic: Ecks vs. Sever,Action,Talisa Soto,Laurence Olivier,Bai Ling
Hard Rain,Action,Morgan Freeman,Indira Varma,Neil Maskell
Osmosis Jones,Action,Ron Howard,50 Cent,Matt Gerald
Legends of Oz: Dorothy's Return,Adventure,Lea Michele,Luke Newberry,Gaia Weiss
Blackhat,Action,Chris Hemsworth,Bruce McGill,Philip Baker Hall
Sky Captain and the World of Tomorrow,Action,Angelina Jolie Pitt,Kristen Stewart,Anna Kendrick
Basic Instinct 2,Crime,Charlotte Rampling,Marlon Brando,Gary Farmer
Escape Plan,Action,Sylvester Stallone,Miranda Cosgrove,Jack McBrayer
The Legend of Hercules,Action,Roxanne McKee,Robert Blake,Aida Turturro
The Sum of All Fears,Action,Morgan Freeman,Morgan Freeman,Seth MacFarlane
The Twilight Saga: Eclipse,Adventure,Robert Pattinson,Ashraf Barhom,Rupert Evans
The Score,Crime,Robert De Niro,Wes Studi,Eddie Izzard
Despicable Me,Animation,Steve Carell,Larry Joe Campbell,Stephen Merchant
Money Train,Action,Vincent Pastore,Rip Torn,Debi Mazar
Ted 2,Comedy,Liam Neeson,Abraham Benrubi,Graham McTavish
Agora,Adventure,Max Minghella,Simon McBurney,Michael Gaston
Mystery Men,Action,Janeane Garofalo,Stephanie Szostak,Bruce Greenwood
Hall Pass,Comedy,Jenna Fischer,Dominic Cooper,Benjamin Walker
The Insider,Biography,Al Pacino,Kevin McNally,Maury Chaykin
The Finest Hours,Action,Michael Raymond-James,Kaitlyn Dever,Nancy Travis
Body of Lies,Action,Leonardo DiCaprio,Mitch Pileggi,Jeffrey DeMunn
Dinner for Schmucks,Comedy,Steve Carell,Nonso Anozie,Owen Teale
Abraham Lincoln: Vampire Hunter,Action,Rufus Sewell,Vin Diesel,Matt Damon
Entrapment,Action,Will Patton,Dominic Cooper,Ramon Rodriguez
Last Man StandingÂ             ,Comedy,Hector Elizondo,Lisa Edelstein,Loretta Devine
The X Files,Drama,Martin Landau,Stephen Root,Denis Leary
The Last Legion,Action,Colin Firth,Michael O'Neill,Reece Thompson
